levelId,generatedName,category,difficultyTier,complexityScore,width,height,filled,colors,timeLimit,displacementRatio,secPerCell,shapeComponents,colorComponents,holes,horizontalSymmetry,verticalSymmetry,fillRate,animal,style,file
101,中型高彩环形纹章（左右对称）,纹样/环形纹章,专家,89.87,23,46,850,9,360,0.9824,0.4235,1,178,1,1.0,0.6295,0.8034,,,assets/LevelData/level_101.json
102,中型多色普通拼豆图,图案/普通拼豆图,困难,77.32,26,27,409,7,0,1.0,,1,69,0,0.6325,0.641,0.5826,,,assets/LevelData/level_102.json
103,中型多色饱满拼豆图,图案/普通拼豆图,专家,78.09,32,31,814,8,0,0.9877,,1,83,0,0.8548,0.8306,0.8206,,,assets/LevelData/level_103.json
104,中型多色环形纹章,纹样/环形纹章,困难,74.36,35,32,730,4,0,1.0,,3,103,4,0.6893,0.7607,0.6518,,,assets/LevelData/level_104.json
105,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,77.29,24,24,576,8,0,0.9479,,1,69,0,1.0,1.0,1.0,,,assets/LevelData/level_105.json
106,中型高彩碎色拼贴图,纹样/碎色马赛克,专家,82.59,43,37,709,10,0,0.78,,1,261,0,0.7272,0.5273,0.4456,,,assets/LevelData/level_106.json
107,中型多色环形纹章,纹样/环形纹章,困难,76.01,35,32,701,7,0,0.7646,,8,99,1,0.8393,0.8411,0.6259,,,assets/LevelData/level_107.json
108,中型多色普通拼豆图,图案/普通拼豆图,专家,79.81,32,30,653,7,420,1.0,0.6432,1,64,0,0.8444,0.6346,0.6802,,,assets/LevelData/level_108.json
109,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,75.36,24,24,576,7,0,0.8698,,1,75,0,1.0,1.0,1.0,,,assets/LevelData/level_109.json
110,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,82.59,24,24,519,10,0,0.8998,,1,86,0,0.9132,0.9062,0.901,,,assets/LevelData/level_110.json
111,大型多色双轴对称图腾,纹样/双轴对称图腾,困难,77.05,35,35,1225,8,0,1.0,,1,81,0,1.0,1.0,1.0,,,assets/LevelData/level_111.json
112,大型多色双轴对称图腾,纹样/双轴对称图腾,困难,75.32,30,36,1080,7,0,1.0,,1,80,0,1.0,1.0,1.0,,,assets/LevelData/level_112.json
113,大型高彩左右对称徽章,纹样/左右对称徽章,专家,87.25,32,37,934,10,0,1.0,,1,138,0,1.0,0.8209,0.7889,,,assets/LevelData/level_113.json
114,大型多色双轴对称图腾,纹样/双轴对称图腾,专家,78.53,40,40,1600,8,0,0.9994,,1,105,0,1.0,1.0,1.0,,,assets/LevelData/level_114.json
115,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,78.82,25,25,489,9,0,0.7914,,1,86,0,1.0,1.0,0.7824,,,assets/LevelData/level_115.json
116,中型高彩饱满拼豆图,图案/普通拼豆图,专家,78.25,27,27,562,9,0,1.0,,1,59,0,0.8244,0.7119,0.7709,,,assets/LevelData/level_116.json
117,中型多色饱满拼豆图,图案/普通拼豆图,困难,73.32,30,30,692,6,0,0.987,,1,69,0,0.6889,0.6844,0.7689,,,assets/LevelData/level_117.json
118,中型高彩双轴对称图腾,纹样/双轴对称图腾,困难,77.84,26,26,676,9,0,0.9808,,1,63,0,1.0,1.0,1.0,,,assets/LevelData/level_118.json
119,小型多色双轴对称图腾,纹样/双轴对称图腾,困难,69.76,18,18,268,6,0,0.9328,,1,34,0,0.9753,0.9753,0.8272,,,assets/LevelData/level_119.json
120,中型高彩环形纹章（左右对称）,纹样/环形纹章,困难,76.74,30,30,688,9,0,0.9985,,1,54,1,0.9111,0.7867,0.7644,,,assets/LevelData/level_120.json
121,超大型多色双轴对称图腾,纹样/双轴对称图腾,困难,73.14,40,46,1840,7,0,0.7995,,1,95,0,1.0,1.0,1.0,,,assets/LevelData/level_121.json
122,中型多色双轴对称图腾,纹样/双轴对称图腾,困难,72.49,22,28,450,5,0,0.9333,,1,64,0,1.0,0.9026,0.7305,,,assets/LevelData/level_122.json
123,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,82.54,24,24,576,10,0,1.0,,1,74,0,1.0,1.0,1.0,,,assets/LevelData/level_123.json
124,大型高彩双轴对称图腾,纹样/双轴对称图腾,困难,76.31,40,40,1600,9,0,0.7731,,1,95,0,1.0,1.0,1.0,,,assets/LevelData/level_124.json
125,小型高彩双轴对称图腾,纹样/双轴对称图腾,专家,81.93,18,25,347,11,0,0.8905,,1,81,0,0.9956,0.8978,0.7711,,,assets/LevelData/level_125.json
126,中型高彩双轴对称图腾,纹样/双轴对称图腾,困难,70.9,24,24,576,9,0,0.8767,,1,28,0,1.0,1.0,1.0,,,assets/LevelData/level_126.json
127,小型多色左右对称徽章,纹样/左右对称徽章,困难,68.84,22,25,347,5,0,0.7378,,1,104,0,0.96,0.7636,0.6309,,,assets/LevelData/level_127.json
128,中型多色双轴对称图腾,纹样/双轴对称图腾,普通,64.11,25,25,625,5,0,0.8768,,1,30,0,1.0,1.0,1.0,,,assets/LevelData/level_128.json
129,中型高彩双轴对称图腾,纹样/双轴对称图腾,专家,83.38,25,25,625,10,0,0.8816,,1,108,0,1.0,1.0,1.0,,,assets/LevelData/level_129.json
130,大型高彩双轴对称图腾,纹样/双轴对称图腾,专家,79.94,30,39,1170,10,0,0.9496,,1,81,0,1.0,1.0,1.0,,,assets/LevelData/level_130.json
